algorithm,matrix_size,tile_size,threads,case,PKG1,PKG2,DRAM1,DRAM2,time
dgetrf_nopiv,16384,512,32,1,608816983,570675907,86969025,44636083,4.454900
dgetrf_nopiv,16384,512,32,2,615662730,575074395,87474965,45341596,4.505500
dgetrf_nopiv,16384,512,32,3,605734534,571077700,89116518,46384184,4.668000
dgetrf_nopiv,16384,512,32,4,606556796,571052249,89055486,46737630,4.696200
dgetrf_nopiv,16384,512,32,5,472133435,425210765,90329685,44706723,4.696400
dgetrf_nopiv,16384,512,32,6,473778755,426413948,90410576,45223954,4.723100
dgetrf_nopiv,16384,512,32,7,471836927,428076846,92126624,46394526,4.903200
dgetrf_nopiv,16384,512,32,8,473471017,429573485,92268165,46483756,4.935900
dgetrf_nopiv,16384,1024,32,1,559092013,538124050,78022549,46758697,4.173000
dgetrf_nopiv,16384,1024,32,2,574255549,543816479,78818746,49746925,4.391900
dgetrf_nopiv,16384,1024,32,3,572134522,534479894,81644029,50016556,4.666600
dgetrf_nopiv,16384,1024,32,4,597471066,552784412,84914557,51067697,5.032600
dgetrf_nopiv,16384,1024,32,5,442171720,408484550,79491732,48420339,4.402600
dgetrf_nopiv,16384,1024,32,6,457138906,422914018,80846302,50247557,4.711700
dgetrf_nopiv,16384,1024,32,7,462316687,416468416,84133476,50807918,4.977200
dgetrf_nopiv,16384,1024,32,8,481522571,435395247,85712222,54136189,5.369600
dgetrf_nopiv,16384,2048,32,1,577114733,563066003,78971225,51658874,5.022400
dgetrf_nopiv,16384,2048,32,2,655912383,615311901,86460590,59224403,6.435900
dgetrf_nopiv,16384,2048,32,3,635178367,619338625,89788693,65775970,6.939700
dgetrf_nopiv,16384,2048,32,4,695439259,687341197,99056285,67593854,8.276000
dgetrf_nopiv,16384,2048,32,5,559170688,538754053,93576835,61763239,6.953800
dgetrf_nopiv,16384,2048,32,6,602478865,578137802,99559946,63659200,7.862800
dgetrf_nopiv,16384,2048,32,7,603059736,581186012,103296558,67969117,8.283900
dgetrf_nopiv,16384,2048,32,8,653180701,623745108,106761671,74622950,9.311900
