algorithm,task,matrix_size,tile_size,frequency,mem_boundness,arithm_intensity,bmr,ilp,l3_cache_ratio,weight
qr,geqrt,16384,512,2801000,0.673373,0.000647,0.003113,0.724950,0.088260,32
qr,ormqr,16384,512,2801000,0.493287,0.000832,0.005284,1.890576,0.909739,496
qr,tsqrt,16384,512,2801000,0.728403,0.000691,0.001668,0.533068,1.948813,496
qr,tsmqr,16384,512,2801000,0.298716,0.001560,0.004313,2.732417,55.997461,10416
qr,geqrt,16384,512,1200000,0.576803,0.000669,0.003159,0.975843,0.091254,32
qr,ormqr,16384,512,1200000,0.390797,0.000847,0.005529,2.280044,0.926380,496
qr,tsqrt,16384,512,1200000,0.596515,0.000699,0.001691,0.838604,1.971181,496
qr,tsmqr,16384,512,1200000,0.231926,0.001619,0.004400,2.991514,58.137511,10416
qr,geqrt,16384,1024,2801000,0.743174,0.000785,0.003850,0.493300,0.341505,16
qr,ormqr,16384,1024,2801000,0.502333,0.002728,0.003796,1.917731,5.402662,120
qr,tsqrt,16384,1024,2801000,0.753098,0.001051,0.004733,0.445107,4.982727,120
qr,tsmqr,16384,1024,2801000,0.255357,0.002155,0.006852,2.924195,71.251419,1240
qr,geqrt,16384,1024,1200000,0.641687,0.000675,0.003832,0.745279,0.293562,16
qr,ormqr,16384,1024,1200000,0.338959,0.002714,0.003794,2.548357,5.373914,120
qr,tsqrt,16384,1024,1200000,0.639605,0.001222,0.004768,0.716096,5.797518,120
qr,tsmqr,16384,1024,1200000,0.195583,0.002170,0.006898,3.160960,71.743058,1240
qr,geqrt,16384,2048,2801000,0.826459,0.050520,0.003531,0.339945,76.801124,8
qr,ormqr,16384,2048,2801000,0.570070,0.005702,0.002682,1.683094,20.416417,28
qr,tsqrt,16384,2048,2801000,0.861503,0.110545,0.002886,0.275183,906.155031,28
qr,tsmqr,16384,2048,2801000,0.222866,0.003829,0.002272,3.069403,112.636598,140
qr,geqrt,16384,2048,1200000,0.703067,0.052912,0.004063,0.594790,80.437374,8
qr,ormqr,16384,2048,1200000,0.338149,0.005935,0.002823,2.598359,21.251577,28
qr,tsqrt,16384,2048,1200000,0.724026,0.109786,0.002902,0.558993,899.930986,28
qr,tsmqr,16384,2048,1200000,0.176316,0.003904,0.002337,3.255838,114.845638,140
qr,geqrt,24576,512,2801000,0.674020,0.000674,0.003088,0.723649,0.137858,48
qr,ormqr,24576,512,2801000,0.501605,0.000844,0.004965,1.857111,2.098699,1128
qr,tsqrt,24576,512,2801000,0.728417,0.000693,0.001665,0.533351,4.442380,1128
qr,tsmqr,24576,512,2801000,0.288762,0.001551,0.004341,2.776180,190.912086,35720
qr,geqrt,24576,512,1200000,0.576519,0.000672,0.003235,0.976030,0.137367,48
qr,ormqr,24576,512,1200000,0.400751,0.000827,0.004955,2.242286,2.056204,1128
qr,tsqrt,24576,512,1200000,0.597011,0.000700,0.001773,0.838616,4.486505,1128
qr,tsmqr,24576,512,1200000,0.221380,0.001552,0.004548,3.038543,191.079050,35720
qr,geqrt,24576,1024,2801000,0.743926,0.000855,0.003910,0.492243,0.557672,24
qr,ormqr,24576,1024,2801000,0.493906,0.002582,0.003887,1.949424,11.761665,276
qr,tsqrt,24576,1024,2801000,0.752820,0.000694,0.004756,0.445383,7.568652,276
qr,tsmqr,24576,1024,2801000,0.253831,0.002081,0.007231,2.930063,239.944200,4324
qr,geqrt,24576,1024,1200000,0.642268,0.000681,0.003784,0.745032,0.444125,24
qr,ormqr,24576,1024,1200000,0.340789,0.002704,0.003821,2.540816,12.313908,276
qr,tsqrt,24576,1024,1200000,0.639287,0.000842,0.004703,0.716108,9.189804,276
qr,tsmqr,24576,1024,1200000,0.196114,0.002155,0.006889,3.158856,248.480764,4324
qr,geqrt,24576,2048,2801000,0.825994,0.050021,0.003513,0.341128,114.061756,12
qr,ormqr,24576,2048,2801000,0.581643,0.005841,0.002755,1.636537,49.304202,66
qr,tsqrt,24576,2048,2801000,0.860647,0.108374,0.002882,0.276855,2093.985119,66
qr,tsmqr,24576,2048,2801000,0.223918,0.003782,0.002277,3.065484,402.142505,506
qr,geqrt,24576,2048,1200000,0.703306,0.051804,0.003570,0.595151,118.129101,12
qr,ormqr,24576,2048,1200000,0.346539,0.006151,0.002848,2.564758,51.915728,66
qr,tsqrt,24576,2048,1200000,0.724414,0.109258,0.002894,0.559101,2111.057253,66
qr,tsmqr,24576,2048,1200000,0.176317,0.003916,0.002177,3.256250,416.356139,506
qr,geqrt,32768,512,2801000,0.674575,0.000700,0.003151,0.723073,0.190889,64
qr,ormqr,32768,512,2801000,0.492474,0.000816,0.004956,1.893886,3.625382,2016
qr,tsqrt,32768,512,2801000,0.728529,0.000683,0.001781,0.533309,7.827562,2016
qr,tsmqr,32768,512,2801000,0.297248,0.001509,0.004060,2.738671,443.943430,85344
qr,geqrt,32768,512,1200000,0.576386,0.000660,0.003157,0.975191,0.179936,64
qr,ormqr,32768,512,1200000,0.390159,0.000812,0.005076,2.283595,3.608035,2016
qr,tsqrt,32768,512,1200000,0.596541,0.000693,0.001693,0.839183,7.943206,2016
qr,tsmqr,32768,512,1200000,0.232016,0.001543,0.004775,2.990914,453.737723,85344
qr,geqrt,32768,1024,2801000,0.743176,0.000719,0.003846,0.493116,0.625259,32
qr,ormqr,32768,1024,2801000,0.497063,0.002669,0.003910,1.937340,21.844953,496
qr,tsqrt,32768,1024,2801000,0.752331,0.000656,0.004725,0.446055,12.868216,496
qr,tsmqr,32768,1024,2801000,0.254202,0.002069,0.006984,2.929178,574.688826,10416
qr,geqrt,32768,1024,1200000,0.642147,0.000687,0.003941,0.745848,0.597503,32
qr,ormqr,32768,1024,1200000,0.339200,0.002699,0.003767,2.547089,22.092050,496
qr,tsqrt,32768,1024,1200000,0.638957,0.000785,0.004812,0.717222,15.385032,496
qr,tsmqr,32768,1024,1200000,0.186399,0.002148,0.006919,3.201483,596.685812,10416
qr,geqrt,32768,2048,2801000,0.826703,0.050343,0.003533,0.339850,153.060927,16
qr,ormqr,32768,2048,2801000,0.591999,0.006022,0.003151,1.595646,92.411402,120
qr,tsqrt,32768,2048,2801000,0.860677,0.108545,0.002891,0.277032,3813.249170,120
qr,tsmqr,32768,2048,2801000,0.233086,0.003771,0.002305,3.025177,982.444389,1240
qr,geqrt,32768,2048,1200000,0.702960,0.050056,0.003534,0.597763,152.189786,16
qr,ormqr,32768,2048,1200000,0.365301,0.006331,0.003080,2.485890,97.153567,120
qr,tsqrt,32768,2048,1200000,0.724677,0.108524,0.002914,0.559784,3812.502827,120
qr,tsmqr,32768,2048,1200000,0.176196,0.003900,0.002441,3.256313,1016.126341,1240
