algorithm, task, matrix_size, tile_size, mem_boundness, arithm_intensity, bmr, ilp, l3_cache_ratio
qr, geqrt, 16384, 512, 0.571723, 0.000722, inf, 0.699540, 0.109952
qr, ormqr, 16384, 512, 0.465932, 0.000895, inf, 1.989083, 1.109609
qr, tsqrt, 16384, 512, 0.657874, 0.000737, inf, 0.525528, 2.294072
qr, tsmqr, 16384, 512, 0.274427, 0.001691, inf, 2.796254, 69.775205
qr, geqrt, 16384, 1024, 0.681389, 0.000948, inf, 0.485724, 0.453497
qr, ormqr, 16384, 1024, 0.430858, 0.003216, inf, 2.186472, 7.240895
qr, tsqrt, 16384, 1024, 0.710491, 0.002347, inf, 0.435566, 12.172614
qr, tsmqr, 16384, 1024, 0.248636, 0.002474, inf, 2.931700, 93.824031
qr, geqrt, 16384, 2048, 0.807806, 0.070157, inf, 0.308836, 116.170689
qr, ormqr, 16384, 2048, 0.430763, 0.006210, inf, 2.220882, 25.339567
qr, tsqrt, 16384, 2048, 0.842750, 0.134710, inf, 0.259168, 1201.088256
qr, tsmqr, 16384, 2048, 0.231599, 0.004282, inf, 3.018568, 144.235730
qr, geqrt, 32768, 512, 0.572545, 0.000747, inf, 0.699806, 0.227528
qr, ormqr, 32768, 512, 0.467055, 0.000974, inf, 1.984652, 4.907558
qr, tsqrt, 32768, 512, 0.658346, 0.000739, inf, 0.523922, 9.341810
qr, tsmqr, 32768, 512, 0.281827, 0.001666, inf, 2.761547, 563.061362
qr, geqrt, 32768, 1024, 0.681570, 0.001000, inf, 0.485279, 0.957141
qr, ormqr, 32768, 1024, 0.427413, 0.003120, inf, 2.198529, 29.038801
qr, tsqrt, 32768, 1024, 0.709208, 0.002042, inf, 0.436516, 43.784515
qr, tsmqr, 32768, 1024, 0.246569, 0.002401, inf, 2.940834, 764.875739
qr, geqrt, 32768, 2048, 0.809576, 0.072039, inf, 0.307306, 238.574183
qr, ormqr, 32768, 2048, 0.431908, 0.006303, inf, 2.216731, 110.225313
qr, tsqrt, 32768, 2048, 0.842841, 0.135799, inf, 0.258551, 5189.129436
qr, tsmqr, 32768, 2048, 0.226789, 0.004222, inf, 3.039385, 1259.573687
